# FTRANSFER.CLOCKS.01 frozen data interface (a): g_*rho(T), g_*s(T)
# Source (named in the preregistration): K. Saikawa & S. Shirai,
#   'Primordial gravitational waves, precisely: the role of thermodynamics
#   in the Standard Model', JCAP 05 (2018) 035, arXiv:1803.01038,
#   Appendix A tabulated data, file standardmodel2018.dat,
#   https://member.ipmu.jp/satoshi.shirai/EOS2018 (retrieved 2026-08-05).
# Full source file sha256: 268a51b869198b13aef052185323e0b0015f78f4a0902f19a79e71d1017dfaad
# Curation rule (deterministic): data rows subsampled every 20th row of the
#   10000-row log(T)-spaced source table, plus the final row (501 rows).
#   Values are copied verbatim (no reformatting, no interpolation).
# Columns: T_GeV,gstar_rho,gstar_rho_err,gstar_s,gstar_s_err
0.0045684407,10.726381,0.010726381,10.726354,0.010726354
0.0050718951,10.728102,0.010728102,10.728079,0.010728079
0.0056308315,10.729505,0.010729505,10.729484,0.010729484
0.0062513642,10.730678,0.010730678,10.730651,0.010730651
0.0069402812,10.73176,0.01073176,10.731702,0.010731702
0.0077051188,10.733065,0.010733065,10.732898,0.010732898
0.0085542435,10.735312,0.010735312,10.734827,0.010734827
0.009496944,10.74001,0.01074001,10.738731,0.010738731
0.010543533,10.751217,0.011098057,10.747909,0.011014074
0.011705458,10.770815,0.011890762,10.76413,0.011653681
0.012995431,10.806919,0.013801324,10.794189,0.013212388
0.014427562,10.868036,0.017809715,10.845496,0.016506206
0.016017518,10.963624,0.025401662,10.92649,0.022800927
0.017782692,11.102787,0.038462943,11.045604,0.033737155
0.019742392,11.292813,0.059012859,11.210064,0.051118687
0.021918056,11.537421,0.088881017,11.424288,0.07665458
0.024333485,11.835984,0.12951147,11.689123,0.11182036
0.0270151,12.182957,0.18134181,12.001112,0.15725795
0.029992236,12.568909,0.24392569,12.353211,0.21288038
0.033297461,12.981494,0.31577259,12.735405,0.27765142
0.03696693,13.4075,0.3950395,13.136388,0.35018616
0.041040785,13.834578,0.47943743,13.544992,0.42855803
0.04556359,14.25324,0.5673402,13.951997,0.5113109
0.050584819,14.658133,0.65813806,14.351318,0.59773629
0.056159402,15.049474,0.75264448,14.741458,0.68823358
0.062348318,15.433838,0.85385113,15.126376,0.78504076
0.069219269,15.825218,0.96760702,15.516565,0.89287208
0.076847418,16.246809,1.1032192,15.930671,1.0194123
0.085316209,16.734837,1.2755284,16.398766,1.177124
0.094718284,17.346354,1.5085325,16.968905,1.386326
0.10515649,18.173341,1.8411305,17.718919,1.6799306
0.11674502,19.36712,2.3383563,18.776903,2.1129793
0.12961063,21.774893,2.3510662,20.826115,2.1893168
0.14389407,25.338491,3.257782,23.874658,2.9456084
0.15975158,30.263013,3.3132775,28.13315,3.0831559
0.17735664,36.112554,3.1105415,33.303188,2.979736
0.19690181,40.613716,3.2677364,37.606402,3.1377576
0.21860092,43.72255,3.53339,40.85778,3.3854909
0.24269132,46.837214,3.5564957,44.078068,3.4436739
0.26943656,49.952014,3.6156145,47.270972,3.5192811
0.29912919,52.346759,3.7733006,49.875614,3.6684065
0.33209403,54.526096,3.8956414,52.254876,3.7920149
0.36869168,56.457708,4.0037902,54.38479,3.9053305
0.40932249,58.270884,4.0359169,56.368343,3.9581289
0.45443092,60.026129,4.0729557,58.259081,4.0078933
0.50451042,61.634571,4.2022243,59.999713,4.1266214
0.56010882,63.088043,4.28407,61.582523,4.210626
0.62183431,64.391502,4.467107,63.012086,4.3740275
0.69036212,65.664102,4.6411327,64.382931,4.5362052
0.76644187,66.937047,4.7839062,65.728489,4.6761246
0.85090582,68.10752,5.0044872,66.974404,4.8775305
0.94467792,69.204459,5.2747434,68.141607,5.1237853
1.048784,70.306681,5.510288,69.292249,5.3510985
1.1643628,71.483253,5.6308299,70.48995,5.4886738
1.2926786,72.613765,5.7423371,71.645846,5.6145653
1.4351353,73.681791,5.8462848,72.74589,5.7306458
1.593291,74.672916,5.9437812,73.776926,5.8383898
1.768876,75.576961,6.0355909,74.728855,5.9389099
1.9638108,76.387931,6.1222422,75.594744,6.0330297
2.1802281,77.104822,6.2040675,76.371928,6.1213472
2.420495,77.730259,6.2812803,77.06098,6.2042922
2.6872401,78.270074,6.3540941,77.665599,6.2822435
2.9833811,78.731887,6.4226334,78.191438,6.355454
3.3121577,79.12433,6.4870196,78.645491,6.4241377
3.6771663,79.456294,6.5474729,79.0354,6.4885801
4.0823999,79.736342,6.6041042,79.368887,6.5489362
4.5322913,79.972315,6.6571771,79.653317,6.6054974
5.0317619,80.171438,6.7068872,79.89574,6.6584744
5.5862756,80.33991,6.7535764,80.102391,6.7082072
6.2018981,80.483566,6.7975561,80.279242,6.7549812
6.8853639,80.608234,6.8394873,80.432231,6.7993946
7.6441494,80.720219,6.8802125,80.567589,6.8421813
8.4865551,80.827683,6.9209811,80.693077,6.8844464
9.4217962,80.940928,6.9631869,80.818191,6.9274318
10.460103,80.973321,6.8369009,80.854829,6.8022039
11.612835,80.919681,6.5009959,80.796267,6.4684476
12.8926,80.932708,6.186879,80.79445,6.1562795
14.313399,81.027893,5.8943779,80.864277,5.8654571
15.890774,81.220006,5.6248551,81.020582,5.5971859
17.64198,81.523412,5.3820356,81.278396,5.3549016
19.586174,81.953212,5.1727174,81.653914,5.1449438
21.744622,82.526189,5.006961,82.165247,4.9767442
24.140938,83.260448,4.8973916,82.832049,4.8621787
26.801334,84.173201,4.8574947,83.673433,4.81397
29.754913,85.283818,4.8991553,84.709856,4.8433712
33.033984,86.59043,5.0300129,85.943661,4.9576649
36.674417,88.083238,5.2513214,87.36941,5.1581317
40.716036,89.74741,5.5568777,88.974347,5.4390175
45.203052,91.546519,5.9332683,90.726348,5.7877446
50.184549,93.421232,6.3321733,92.567181,6.1586316
55.715021,94.786514,5.9573374,93.89392,5.7962262
61.854965,96.150311,5.5864646,95.233351,5.4366761
68.671548,97.482693,5.2234494,96.556595,5.0839471
76.239337,98.775102,4.8613703,97.855314,4.7302524
84.641116,99.969837,4.5461797,99.081449,4.4099994
93.968793,101.10646,4.2358166,100.25798,4.0946643
104.32441,102.11198,4.0036787,101.30844,3.8583481
115.82123,102.95828,3.890414,102.20087,3.7410151
128.58504,103.76253,3.7726154,103.04669,3.6177314
142.75546,104.0492,3.3578934,103.46586,3.2690378
158.48749,104.29843,3.2308386,103.81157,3.1467105
175.95324,104.42031,3.1116474,104.04053,3.0316175
195.34376,104.32331,2.9992773,104.06564,2.922949
216.87116,104.25487,2.8919125,104.08065,2.819075
240.77095,104.20923,2.7898814,104.09121,2.7203389
267.30455,104.18031,2.6919687,104.09993,2.6255378
296.76223,104.16276,2.5991922,104.10757,2.5357019
329.46622,104.15284,2.5103615,104.11452,2.4496515
365.77428,104.14757,2.4255899,104.12054,2.3675107
406.08358,104.14606,2.344487,104.12661,2.2888981
450.83508,104.14645,2.2673075,104.1321,2.2140776
500.51831,104.1483,2.1930672,104.13739,2.1420729
