# FTRANSFER.CLOCKS.01 frozen data interface (b): alpha_s(Q) reference running
# Source: PDG 2024 (S. Navas et al., Particle Data Group), Prog. Theor. Exp.
#   Phys. 2024, 083C01: world average alpha_s(M_Z) = 0.1180 +- 0.0009 (QCD
#   review Sec. 9.4.4); 4-loop MS-bar beta function coefficients b0..b3 (QCD
#   review Eq. (9.5)); M_Z = 91.1880 GeV; top pole mass m_t = 172.57 GeV.
# Construction (deterministic; this is the PDG-quoted running curve that
#   underlies the world-summary alpha_s(Q) overlay, PDG 2024 Fig. 9.5):
#   4-loop RGE integrated with fixed-step classical RK4 (4000 steps/leg) in
#   ln Q; n_f = 5 from M_Z to m_t, 5->6 matching by CONTINUITY at m_t (the
#   prescription frozen in the preregistration), n_f = 6 from m_t to 1 TeV.
#   alpha_lo/alpha_hi propagate alpha_s(M_Z) = 0.1171 / 0.1189 identically.
# Columns: Q_GeV,alpha_s,alpha_s_lo,alpha_s_hi
432.492113,0.09667218,0.09607178,0.09727080
438.284705,0.09652992,0.09593131,0.09712676
444.154881,0.09638809,0.09579126,0.09698314
450.103680,0.09624669,0.09565162,0.09683996
456.132154,0.09610570,0.09551239,0.09669721
462.241370,0.09596513,0.09537357,0.09655488
468.432410,0.09582498,0.09523516,0.09641298
474.706370,0.09568524,0.09509716,0.09627149
481.064360,0.09554591,0.09495956,0.09613043
487.507506,0.09540699,0.09482237,0.09598979
494.036949,0.09526849,0.09468558,0.09584956
500.653844,0.09513039,0.09454918,0.09570975
507.359363,0.09499269,0.09441319,0.09557035
514.154691,0.09485540,0.09427759,0.09543137
521.041034,0.09471851,0.09414238,0.09529279
528.019609,0.09458202,0.09400757,0.09515462
535.091651,0.09444593,0.09387315,0.09501685
542.258413,0.09431024,0.09373911,0.09487949
549.521163,0.09417494,0.09360547,0.09474253
556.881187,0.09404003,0.09347221,0.09460597
564.339788,0.09390551,0.09333933,0.09446981
571.898285,0.09377138,0.09320684,0.09433404
579.558018,0.09363765,0.09307472,0.09419867
587.320341,0.09350429,0.09294299,0.09406370
595.186629,0.09337132,0.09281163,0.09392911
603.158275,0.09323874,0.09268065,0.09379492
611.236688,0.09310653,0.09255004,0.09366111
