run,source,family,offsets_from_p,selection_mse,selected
primary,sqrt2,nonlinear,"1,2",0.7553878964490465,False
primary,sqrt2,nonlinear,"1,3",0.7562035269405604,False
primary,sqrt2,nonlinear,"1,4",0.7561963340695386,False
primary,sqrt2,nonlinear,"1,5",0.7554564556154381,False
primary,sqrt2,nonlinear,"1,6",0.7544731616074238,False
primary,sqrt2,nonlinear,"1,7",0.7572774309326302,False
primary,sqrt2,nonlinear,"2,3",0.7565393935830673,False
primary,sqrt2,nonlinear,"2,4",0.7569862804077069,False
primary,sqrt2,nonlinear,"2,5",0.7579803852890112,False
primary,sqrt2,nonlinear,"2,6",0.7555796984165603,False
primary,sqrt2,nonlinear,"2,7",0.7559803709660083,False
primary,sqrt2,nonlinear,"3,4",0.7563888974453125,False
primary,sqrt2,nonlinear,"3,5",0.756529853819068,False
primary,sqrt2,nonlinear,"3,6",0.7575610953464567,False
primary,sqrt2,nonlinear,"3,7",0.7557459571715586,False
primary,sqrt2,nonlinear,"4,5",0.7540487115434942,False
primary,sqrt2,nonlinear,"4,6",0.7552884136896593,False
primary,sqrt2,nonlinear,"4,7",0.7570303127815875,False
primary,sqrt2,nonlinear,"5,6",0.7570917264943113,False
primary,sqrt2,nonlinear,"5,7",0.755667581919002,False
primary,sqrt2,nonlinear,"6,7",0.7568435658524135,False
primary,sqrt2,nonlinear,"0,1,2",0.7551688573509202,False
primary,sqrt2,nonlinear,"1,2,3",0.7550481139866932,False
primary,sqrt2,nonlinear,"2,3,4",0.7562759006358439,False
primary,sqrt2,nonlinear,"3,4,5",0.7546079885325176,False
primary,sqrt2,nonlinear,"4,5,6",0.7557107676121516,False
primary,sqrt2,nonlinear,"5,6,7",0.7571322720558507,False
primary,planted,single,none,0.7530819108853425,True
primary,planted,single,0,0.7531623024647638,False
primary,planted,single,1,0.7532315852310402,False
primary,planted,single,2,0.7537808314042016,False
primary,planted,single,3,0.7537388648188316,False
primary,planted,single,4,0.7536367950112147,False
primary,planted,single,5,0.7534935378345029,False
primary,planted,single,6,0.7536817386456,False
primary,planted,single,7,0.7533907614196385,False
primary,planted,nonlinear,none,0.7530819108853425,False
primary,planted,nonlinear,"0,1",0.3173846194144842,True
primary,planted,nonlinear,"0,2",0.7555463752755297,False
primary,planted,nonlinear,"0,3",0.7546664665263113,False
primary,planted,nonlinear,"0,4",0.7555064211984509,False
primary,planted,nonlinear,"0,5",0.7548935287764509,False
primary,planted,nonlinear,"0,6",0.7550353242978258,False
primary,planted,nonlinear,"0,7",0.7568924238301701,False
primary,planted,nonlinear,"1,2",0.7554844248857073,False
